CrsCode,StationName,Easting,Northing,RevisionNumber,Grid Reference,Latitude,Longitude
WDU,West Dulwich Rail Station,532750,173030,2,TQ 32750 73030,51.440716,-0.091371509
WNT,Wandsworth Town Rail Station,525970,175120,1,TQ 25970 75120,51.461046,-0.18812548
WEA,West Ealing Rail Station,516666,180735,2,TQ 16666 80735,51.513504,-0.32013328
WED,Wedgwood Rail Station,388620,339310,1,SJ 88620 39310,52.951047,-2.1708219
WEE,Weeley Rail Station,614657,221756,1,TM 14657 21756,51.853097,1.1154817
WET,Weeton Rail Station,427600,447530,1,SE 27600 47530,53.923176,-1.5812156
WMG,Welham Green Rail Station,523653,205697,1,TL 23653 05697,51.736350,-0.21069175
WLI,Welling Rail Station,546090,176075,2,TQ 46090 76075,51.464797,0.10168956
WLN,Wellington (Shropshire) Rail Station,365150,311640,1,SJ 65150 11640,52.701304,-2.5171654
WLP,Welshpool Rail Station,322995,307251,3,SJ 22995 07251,52.657493,-3.1398712
WCX,Wembley Stadium Rail Station,518955,185340,2,TQ 18955 85340,51.554414,-0.28560830
WEM,Wem Rail Station,351750,329010,2,SJ 51750 29010,52.856408,-2.7180169
WMS,Wemyss Bay Rail Station,219360,668550,3,NS 19360 68550,55.876143,-4.8890798
