CrsCode,StationName,Easting,Northing,RevisionNumber,Grid Reference,Latitude,Longitude
PRT,Prestatyn Rail Station,306400,383100,4,SJ0640083100,53.336496,-3.4071317
PKS,Parkstone (Dorset) Rail Station,403770,91485,2,SZ0377091485,50.722977,-1.9479565
PTA,Port Talbot Parkway Rail Station,276700,189600,3,SS7670089600,51.591716,-3.7813142
PTK,Partick Rail Station,255630,666490,1,NS5563066490,55.869887,-4.3088062
PFR,Pontefract Baghill Rail Station,446100,421940,1,SE4610021940,53.69188,-1.3033528
PFM,Pontefract Monkhill Rail Station,446070,422730,2,SE4607022730,53.698983,-1.30369
POT,Pontefract Tanshelf Rail Station,445070,422180,4,SE4507022180,53.694127,-1.3189148
PTG,Port Glasgow Rail Station,232070,674430,1,NS3207074430,55.933513,-4.6898256
PIT,Pitlochry Rail Station,293830,758100,3,NN9383058100,56.7025,-3.7355702
PAT,Patricroft Rail Station,376325,398733,2,SJ7632598733,53.484776,-2.3582446
PTR,Petersfield Rail Station,474387,123571,4,SU7438723571,51.006725,-0.94113674
PPD,Pontypridd Rail Station,307190,189800,3,ST0719089800,51.599368,-3.3413747
PUL,Pulborough Rail Station,504285,118595,1,TQ0428518595,50.957357,-0.51655779
PFL,Purfleet Rail Station,555417,178156,1,TQ5541778156,51.481012,0.23676693
PUR,Purley Rail Station,531470,161520,2,TQ3147061520,51.337577,-0.11403545
PUO,Purley Oaks Rail Station,532500,162600,1,TQ3250062600,51.347044,-0.098856148
PUT,Putney Rail Station,524000,175100,1,TQ2400075100,51.461301,-0.21647461
PEV,Pevensey & Westham Rail Station,563868,104381,1,TQ6386804381,50.815798,0.32480741
PEB,Pevensey Bay Rail Station,565137,104606,3,TQ6513704606,50.817459,0.34290657
PTW,Prestwick Rail Station,234920,626210,1,NS3492026210,55.501696,-4.6151562
PRA,Prestwick Intl Airport Rail Station,235013,627024,1,NS3501327024,55.509034,-4.61417
PWL,Pwllheli Rail Station,237500,335000,4,SH3750035000,52.887833,-4.4166974
PSW,Polesworth Rail Station,426460,303190,2,SK2646003190,52.625831,-1.6105401
PNY,Pen-y-Bont Rail Station,309900,264800,1,SO0990064800,52.273941,-3.321931
PYL,Pyle Rail Station,282297,182125,1,SS8229782125,51.525734,-3.6980522
QUI,Quintrell Downs Rail Station,184890,60405,3,SW8489060405,50.404053,-5.0284912
QPW,Queens Park (London) Rail Station,524600,183200,1,TQ2460083200,51.533964,-0.20498485
QRB,Queenstown Road (Battersea) Rail Station,528810,176740,3,TQ2881076740,51.474966,-0.14667821
QYD,Quakers Yard Rail Station,308600,196600,1,ST0860096600,51.660724,-3.3228004
QBR,Queenborough Rail Station,591300,172100,1,TQ9130072100,51.415635,0.74966609
QPK,Queens Park (Glasgow) Rail Station,258135,662555,2,NS5813562555,55.835303,-4.2667499
RDT,Radlett Rail Station,516427,199832,1,TQ1642799832,51.685186,-0.31724377
RDF,Radcliffe (Notts) Rail Station,464780,339478,2,SK6478039478,52.948784,-1.037328
RDR,Radyr Rail Station,313475,180450,2,ST1347580450,51.516321,-3.2483528
RAI,Rainham (Kent) Rail Station,581878,166263,1,TQ8187866263,51.366304,0.61133709
RAM,Ramsgate Rail Station,637348,165700,6,TR3734865700,51.340803,1.406467
RAN,Rannoch Rail Station,242260,757890,1,NN4226057890,56.686044,-4.5768695
RAU,Rauceby Rail Station,503710,344210,1,TF0371044210,52.985203,-0.45660619
RWC,Rawcliffe Rail Station,468720,421900,1,SE6872021900,53.68904,-0.96086317
RLG,Rayleigh Rail Station,580207,191029,2,TQ8020791029,51.589292,0.59998337
RAY,Raynes Park Rail Station,523190,169280,2,TQ2319069280,51.409172,-0.23015085
RVB,Ravensbourne Rail Station,538655,170235,2,TQ3865570235,51.414187,-0.007556824
RBR,Robertsbridge Rail Station,573380,123515,1,TQ7338023515,50.984932,0.46878245
RCD,Rochdale Rail Station,389940,412650,3,SD8994012650,53.610305,-2.1535241
ROC,Roche Rail Station,199040,61460,2,SW9904061460,50.41854,-4.8301975
RTR,Rochester Rail Station,574771,168157,1,TQ7477168157,51.385548,0.51028136
RIC,Rickmansworth Rail Station,505745,194597,1,TQ0574594597,51.640245,-0.47328251
REC,Rectory Road Rail Station,534010,186170,2,TQ3401086170,51.558501,-0.068266955
REE,Reedham (Norfolk) Rail Station,641350,302250,1,TG4135002250,52.564502,1.5596512
RDC,Redditch Rail Station,403830,267580,1,SP0383067580,52.306324,-1.9452496
RAD,Radley Rail Station,452603,198878,1,SU5260398878,51.686204,-1.240482
RDD,Riddlesdown Rail Station,532505,160980,2,TQ3250560980,51.332484,-0.099386702
RDG,Reading Rail Station,471528,173813,1,SU7152873813,51.458784,-0.97186323
RBU,Reading Rail Station,471543,173742,1,SU7154373742,51.458144,-0.9716617
RDG,Reading Rail Station,471529,173813,2,SU7152973813,51.458784,-0.97184884
RDB,Redbridge (Hants) Rail Station,437340,113520,2,SU3734013520,50.919938,-1.4701598
RCC,Redcar Central Rail Station,460100,524960,1,NZ6010024960,54.616225,-1.0708676
RCE,Redcar East Rail Station,461310,524200,1,NZ6131024200,54.609251,-1.0522922
RBS,British Steel Redcar Rail Station,457410,524220,1,NZ5741024220,54.609888,-1.1126612
RDW,Reading West Rail Station,470264,173430,3,SU7026473430,51.455499,-0.99012932
RDH,Redhill Rail Station,528128,150600,1,TQ2812850600,51.240199,-0.16589995
